Precision;Recall;Distance;k;Dimension
0.7222222222222222;0.5655731225296443;cosine;420;500;
0.7320987654320988;0.609090909090909;cosine;440;500;
0.6425925925925926;0.7146464646464646;cosine;460;500;
0.7048611111111112;0.6789772727272727;cosine;480;500;
0.8333333333333334;0.6222222222222222;cosine;500;500;
0.75;0.6761904761904762;cosine;520;500;
0.78125;0.6205128205128204;cosine;540;500;
0.8214285714285714;0.6234432234432236;cosine;560;500;
0.7901785714285714;0.5955128205128205;cosine;580;500;
0.75;0.6043956043956044;cosine;600;500;
